college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca,year
"University Departments of Anna University, Chennai - CEG Campus",BIO MEDICAL ENGINEERING (SS),195.5,192.5,192.5,194.0,181.5,,167.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",CIVIL ENGINEERING,196.0,193.0,194.5,189.5,186.5,,188.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",COMPUTER SCIENCE AND ENGINEERING (SS),198.5,199.5,198.0,199.0,196.0,,190.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",COMPUTER SCIENCE AND ENGINEERING,199.5,198.5,198.5,197.5,198.0,192.5,194.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS AND COMMUNICATION ENGINEERING,198.5,198.5,199.0,196.5,197.5,,195.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRICAL AND ELECTRONICS ENGINEERING,196.5,197.0,197.0,195.5,191.5,190.5,188.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS ENGINEERING(VLSI DESIGN AND TECHNOLOGY),197.5,197.5,195.0,194.0,192.0,165.0,,2021.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199.0,199.5,198.0,196.5,193.5,181.0,192.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",GEO INFORMATICS,190.0,187.5,185.5,188.5,176.5,,174.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",INDUSTRIAL ENGINEERING,191.0,185.0,184.5,186.5,176.0,166.0,164.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",INFORMATION TECHNOLOGY (SS),198.0,197.5,198.5,196.5,194.5,192.5,191.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",MATERIAL SCIENCE AND ENGINEERING (SS),188.5,187.0,185.5,188.0,174.0,,158.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",MECHANICAL ENGINEERING,195.0,192.0,192.0,194.5,187.5,183.5,183.0,2021.0
"University Departments of Anna University, Chennai - CEG Campus",MINING ENGINEERING,190.5,185.5,188.5,185.5,180.0,,165.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",MANUFACTURING ENGINEERING,188.09,183.5,185.5,187.5,176.0,169.5,164.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",PRINTING AND PACKING TECHNOLOGY,183.5,177.0,173.5,165.5,167.5,168.5,148.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",CIVIL ENGINEERING (TAMIL MEDIUM),187.91,180.0,182.5,180.5,167.5,,157.5,2021.0
"University Departments of Anna University, Chennai - CEG Campus",MECHANICAL ENGINEERING (TAMIL MEDIUM),188.0,179.0,178.5,185.5,164.5,158.0,,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",APPAREL TECHNOLOGY (SS),171.0,163.0,158.0,159.0,153.0,152.0,,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CHEMICAL ENGINEERING,193.0,191.0,188.5,189.0,182.0,159.5,179.5,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CHEMICAL ENGINEERING (SS),190.5,186.5,186.5,188.5,178.0,147.5,165.0,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CERAMIC TECHNOLOGY (SS),174.5,166.0,167.0,154.5,150.5,175.0,131.0,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",FOOD TECHNOLOGY (SS),184.0,179.0,179.0,182.5,172.5,,,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",INDUSTRIAL BIO TECHNOLOGY,193.0,188.5,189.5,191.0,173.0,,168.0,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",INDUSTRIAL BIO TECHNOLOGY (SS),191.0,187.5,183.0,190.0,178.5,,160.5,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",LEATHER TECHNOLOGY,170.0,161.5,159.5,156.0,158.0,,120.0,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",PHARMACEUTICAL TECHNOLOGY (SS),185.5,178.5,180.0,178.0,163.5,,135.0,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",PETROLEUM ENGINEERING AND TECHNOLOGY (SS),186.5,177.5,178.5,177.5,174.0,164.5,161.5,2021.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",TEXTILE TECHNOLOGY,174.5,163.5,160.0,155.0,165.0,,118.5,2021.0
